venue,Relevancy
italian studies,Irrelevant
history and anthropology,Irrelevant
european journal of marketing,Irrelevant
computational & applied mathematics,Irrelevant
central european journal of operations research,Irrelevant
china quarterly,Irrelevant
history compass,Irrelevant
american anthropologist,Irrelevant
applied system innovation,Irrelevant
journal of advanced computational intelligence and intelligent informatics,Irrelevant
dix-neuf,Irrelevant
journal of war & culture studies,Irrelevant
environmental modelling & software,Irrelevant
international journal of foundations of computer science,Irrelevant
journal of statistics & management systems,Irrelevant
journal of contemporary asia,Irrelevant
work and occupations,Irrelevant
revista de historia-sao paulo,Irrelevant
softwarex,Irrelevant
modern china,Irrelevant
international journal of systems science,Irrelevant
historicka sociologie,Irrelevant
indian journal of pure & applied mathematics,Irrelevant
trabajo social,Irrelevant
culture & psychology,Irrelevant
bulletin of latin american research,Irrelevant
emerging markets finance and trade,Irrelevant
citizenship studies,Irrelevant
international journal of astrobiology,Irrelevant
random structures & algorithms,Irrelevant
international journal of interactive multimedia and artificial intelligence,Irrelevant
physica scripta,Irrelevant
journal of eastern african studies,Irrelevant
south asia-journal of south asian studies,Irrelevant
mis quarterly,Irrelevant
proceedings of the royal society b-biological sciences,Irrelevant
latino studies,Irrelevant
rethinking history,Irrelevant
tropical medicine & international health,Irrelevant
annales medico-psychologiques,Irrelevant
linguistica y literatura,Irrelevant
european journal of work and organizational psychology,Irrelevant
bresil-s,Irrelevant
early science and medicine,Irrelevant
jewish social studies,Irrelevant
european journal for sport and society,Irrelevant
journal of medieval iberian studies,Irrelevant
polish journal of management studies,Irrelevant
gender place and culture,Irrelevant
ieee communications letters,Irrelevant
journal of modern power systems and clean energy,Irrelevant
security dialogue,Irrelevant
malaria journal,Irrelevant
social history,Irrelevant
comunicacion y medios,Irrelevant
anthropological quarterly,Irrelevant
turkiye iletisim arastirmalari dergisi-turkish review of communication studies,Irrelevant
applied geography,Irrelevant
psychiatry psychology and law,Irrelevant
journal of the royal asiatic society,Irrelevant
journal of risk research,Irrelevant
chinese journal of communication,Irrelevant
international journal of press-politics,Irrelevant
ethik in der medizin,Irrelevant
journal of aapos,Irrelevant
european security,Irrelevant
obra digital-revista de comunicacion,Irrelevant
interface-comunicacao saude educacao,Irrelevant
facets,Irrelevant
sotsiologicheskie issledovaniya,Irrelevant
american journalism,Irrelevant
tripodos,Irrelevant
critical studies on security,Irrelevant
philosophies,Irrelevant
canadian journal of public health-revue canadienne de sante publique,Irrelevant
zbornik veleucilista u rijeci-journal of the polytechnics of rijeka,Irrelevant
china report,Irrelevant
polis-politicheskiye issledovaniya,Irrelevant
russian journal of mathematical physics,Irrelevant
jcms-journal of common market studies,Irrelevant
baghdad science journal,Irrelevant
libri-international journal of libraries and information studies,Partial Relevant
revista ibero-americana de ciencia da informacao,Irrelevant
romanian journal of communication and public relations,Irrelevant
ecumenica-performance and religion,Irrelevant
urvio-revista latinoamericana de estudios de seguridad,Irrelevant
review of socionetwork strategies,Irrelevant
sexologies,Irrelevant
engineering technology & applied science research,Irrelevant
turkish librarianship,Irrelevant
moral philosophy and politics,Irrelevant
psychology & marketing,Irrelevant
quaestio iuris,Irrelevant
journal of information and telecommunication,Irrelevant
journal for the study of the historical jesus,Irrelevant
paginas de educacion,Irrelevant
environmental research communications,Irrelevant
computacion y sistemas,Irrelevant
international journal of data science and analytics,Irrelevant
vestnik moskovskogo universiteta. seriya 10. zhurnalistika,Irrelevant
investigacion bibliotecologica,Irrelevant
operations research and decisions,Irrelevant
journal of iberian and latin american research,Irrelevant
area abierta,Irrelevant
evolutionary anthropology,Irrelevant
open theology,Irrelevant
phi delta kappan,Irrelevant
etd educacao tematica digital,Irrelevant
rhetoric review,Irrelevant
harold pinter review-essays on contemporary drama,Irrelevant
informatics-basel,Irrelevant
signa-revista de la asociacion espanola de semiotica,Irrelevant
acta orientalia academiae scientiarum hungaricae,Irrelevant
metode science studies journal,Irrelevant
journal of nepal medical association,Irrelevant
revista de estudios en seguridad internacional-resi,Irrelevant
journal of family medicine and primary care,Irrelevant
education for information,Relevant
elektrotechnik und informationstechnik,Irrelevant
revista general de informacion y documentacion,Irrelevant
fonseca-journal of communication,Irrelevant
transinformacao,Relevant
pertanika journal of social science and humanities,Irrelevant
revista internacional de relaciones publicas,Irrelevant
international review of sociology-revue internationale de sociologie,Irrelevant
politicke vedy,Irrelevant
militargeschichtliche zeitschrift,Irrelevant
german law journal,Irrelevant
cultura lenguaje y representacion-revista de estudios culturales de la universitat jaume i,Irrelevant
jati-journal of southeast asian studies,Irrelevant
southern communication journal,Irrelevant
social psychology and society,Irrelevant
arbor-ciencia pensamiento y cultura,Irrelevant
cyberpsychology-journal of psychosocial research on cyberspace,Irrelevant
economic anthropology,Irrelevant
idp-internet law and politics,Irrelevant
conexao-comunicacao e cultura,Irrelevant
revista espanola de documentacion cientifica,Relevant
journal of public relations research,Irrelevant
psychology and law,Irrelevant
utrecht law review,Irrelevant
trames-journal of the humanities and social sciences,Irrelevant
ipri journal,Irrelevant
international journal of electronic government research,Irrelevant
text matters-a journal of literature theory and culture,Irrelevant
revista romaneasca pentru educatie multidimensionala,Irrelevant
contemporary europe-sovremennaya evropa,Irrelevant
environmental communication-a journal of nature and culture,Irrelevant
journal of information communication & ethics in society,Irrelevant
bid-textos universitaris de biblioteconomia i documentacio,Irrelevant
cic-cuadernos de informacion y comunicacion,Irrelevant
mezinarodni vztahy-czech journal of international relations,Irrelevant
religion & education,Irrelevant
revista de investigacoes constitucionais-journal of constitutional research,Irrelevant
strategies for policy in science and education-strategii na obrazovatelnata i nauchnata politika,Irrelevant
navus-revista de gestao e tecnologia,Irrelevant
american psychologist,Irrelevant
insights-the uksg journal,Irrelevant
jcom-journal of science communication,Irrelevant
journal of palestine studies,Irrelevant
reidocrea-revista eectronica de investigacion y docencia creativa,Irrelevant
matraga-estudos linguisticos e literario,Irrelevant
african health sciences,Irrelevant
law and social inquiry-journal of the american bar foundation,Irrelevant
catholic social science review,Irrelevant
partecipazione e conflitto,Irrelevant
journal of early modern history,Irrelevant
journal of consumer marketing,Irrelevant
thinking & reasoning,Irrelevant
international journal of emergency services,Irrelevant
revista brasileira de estudos politicos,Irrelevant
computational and mathematical methods in medicine,Irrelevant
documentation et bibliotheques,Irrelevant
gragoata-uff,Irrelevant
public finance review,Irrelevant
simbiotica,Irrelevant
journal of behavioral and experimental economics,Irrelevant
information technology and libraries,Relevant
transportation research part a-policy and practice,Irrelevant
psicologica,Irrelevant
tomsk state university journal,Irrelevant
journal of applied journalism & media studies,Irrelevant
journal of food protection,Irrelevant
jnp-journal for nurse practitioners,Irrelevant
journal of big data,Irrelevant
digital library perspectives,Relevant
international journal of system assurance engineering and management,Irrelevant
revue d epidemiologie et de sante publique,Irrelevant
international journal of technologies in higher education,Irrelevant
internet technology letters,Irrelevant
mirovaya ekonomika i mezhdunarodnye otnosheniya,Irrelevant
asia pacific media educator,Irrelevant
insight turkey,Irrelevant
information and learning sciences,Partial Relevant
revue internationale de philosophie,Irrelevant
european urology focus,Irrelevant
american journal of psychology,Irrelevant
journal of applied probability,Irrelevant
cognition & emotion,Irrelevant
ieee transactions on professional communication,Irrelevant
canadian journal of behavioural science-revue canadienne des sciences du comportement,Irrelevant
communication theory,Irrelevant
peerj,Irrelevant
interactive journal of medical research,Irrelevant
journal of biomedical informatics,Irrelevant
animal cognition,Irrelevant
review of international political economy,Irrelevant
annual review of psychology,Irrelevant
substance use & misuse,Irrelevant
journal of behavioral medicine,Irrelevant
systematic reviews,Irrelevant
experimental psychology,Irrelevant
political quarterly,Irrelevant
health psychology,Irrelevant
pacific-basin finance journal,Irrelevant
journals of gerontology series b-psychological sciences and social sciences,Irrelevant
pharmacy education,Irrelevant
european journal of psychotraumatology,Irrelevant
communication and critical-cultural studies,Irrelevant
family court review,Irrelevant
communication studies,Irrelevant
european review of applied psychology-revue europeenne de psychologie appliquee,Irrelevant
psychological science in the public interest,Irrelevant
revista cuidarte,Irrelevant
global policy,Irrelevant
international journal of ambient computing and intelligence,Irrelevant
global environmental change-human and policy dimensions,Irrelevant
galactica media-journal of media studies - galaktika media-zhurnal media issledovanij,Irrelevant
journal of global information management,Irrelevant
index comunicacion,Irrelevant
anais da academia brasileira de ciencias,Irrelevant
european journal of information systems,Relevant
forum-a journal of applied research in contemporary politics,Irrelevant
ricerche di storia politica,Irrelevant
international journal of modern physics b,Irrelevant
informacios tarsadalom,Irrelevant
journal of islamic marketing,Irrelevant
revista latinoamericana de tecnologia educativa-relatec,Irrelevant
acm transactions on multimedia computing communications and applications,Irrelevant
journal of hospital infection,Irrelevant
cognitive systems research,Irrelevant
politics groups and identities,Irrelevant
communitas,Irrelevant
anaesthesiology intensive therapy,Irrelevant
communication quarterly,Irrelevant
australasian journal of information systems,Irrelevant
journal of contemporary drama in english,Irrelevant
journal of web semantics,Irrelevant
communications-european journal of communication research,Irrelevant
social psychology,Irrelevant
media culture & society,Irrelevant
international journal of information technology and web engineering,Irrelevant
data base for advances in information systems,Irrelevant
european journal of risk regulation,Irrelevant
ergo-an open access journal of philosophy,Irrelevant
aib studi,Irrelevant
mathematics and computers in simulation,Irrelevant
revista tecnologia e sociedade,Irrelevant
human rights law review,Irrelevant
contextos educativos-revista de educacion,Irrelevant
european journal of english studies,Irrelevant
tijdschrift voor geschiedenis,Irrelevant
indonesia and the malay world,Irrelevant
journal of marketing analytics,Irrelevant
communication research reports,Irrelevant
public library quarterly,Relevant
obets-revista de ciencias sociales,Irrelevant
management research review,Irrelevant
noesis-revista de ciencias sociales,Irrelevant
culture education,Irrelevant
jurnal ilmiah peuradeun,Irrelevant
cuadernos de documentacion multimedia,Irrelevant
journal of current southeast asian affairs,Irrelevant
results in physics,Irrelevant
communication and the public,Irrelevant
american biology teacher,Irrelevant
revista on line de politica e gestao educacional,Irrelevant
iet information security,Irrelevant
canadian slavonic papers,Irrelevant
comparative studies in society and history,Irrelevant
academy of management review,Irrelevant
taxon,Irrelevant
animal bioscience,Irrelevant
clinical journal of pain,Irrelevant
legal studies,Irrelevant
chinese optics,Irrelevant
gema online journal of language studies,Irrelevant
beilstein journal of nanotechnology,Irrelevant
journal of physical chemistry c,Irrelevant
journal of biomedical materials research part b-applied biomaterials,Irrelevant
african journal of marine science,Irrelevant
eksperimentalnaya psikhologiya,Irrelevant
journal of lipid research,Irrelevant
journal of the operational research society,Irrelevant
recerca-revista de pensament & analisi,Irrelevant
open geosciences,Irrelevant
icon-international journal of constitutional law,Irrelevant
journal of saudi chemical society,Irrelevant
progress in oceanography,Irrelevant
european journal of womens studies,Irrelevant
nanoscale,Irrelevant
developmental and comparative immunology,Irrelevant
archives of cardiovascular diseases,Irrelevant
current medicinal chemistry,Irrelevant
journal of process control,Irrelevant
environmental biology of fishes,Irrelevant
journal of perinatology,Irrelevant
intersections-east european journal of society and politics,Irrelevant
developmental biology,Irrelevant
european physical journal c,Irrelevant
cortex,Irrelevant
frontiers in forests and global change,Irrelevant
journal of colloid and interface science,Irrelevant
hydrobiologia,Irrelevant
journal of applied geophysics,Irrelevant
international medical case reports journal,Irrelevant
journal of rehabilitation medicine,Irrelevant
botanical journal of the linnean society,Irrelevant
journal of hydrology,Irrelevant
materials science and engineering b-advanced functional solid-state materials,Irrelevant
seminars in dialysis,Irrelevant
world journal of meta-analysis,Irrelevant
italian journal of geosciences,Irrelevant
journal of environmental and engineering geophysics,Irrelevant
matter,Irrelevant
food and chemical toxicology,Irrelevant
frontiers in marine science,Irrelevant
applied materials today,Irrelevant
journal of analytical and applied pyrolysis,Irrelevant
chemical engineering journal,Irrelevant
engineering structures,Irrelevant
colloids and surfaces a-physicochemical and engineering aspects,Irrelevant
journal of asia-pacific entomology,Irrelevant
journal of coastal research,Irrelevant
fisheries management and ecology,Irrelevant
chemical engineering science,Irrelevant
advanced drug delivery reviews,Irrelevant
electroanalysis,Irrelevant
prooftexts-a journal of jewish literary history,Irrelevant
trends in plant science,Irrelevant
journal of freshwater ecology,Irrelevant
russian meteorology and hydrology,Irrelevant
american journal of emergency medicine,Irrelevant
journal of the indian society of remote sensing,Irrelevant
mediterranean marine science,Irrelevant
narrative culture,Irrelevant
journal of the american chemical society,Irrelevant
technology and innovation,Irrelevant
nj-drama australia journal,Irrelevant
biological conservation,Irrelevant
biotechnology and bioengineering,Irrelevant
biological & pharmaceutical bulletin,Irrelevant
international review of economics & finance,Irrelevant
plant disease,Irrelevant
ecological modelling,Irrelevant
brazilian journal of physical therapy,Irrelevant
drug discovery today,Irrelevant
brazilian journal of biology,Irrelevant
automatic control and computer sciences,Irrelevant
women-a cultural review,Irrelevant
journal of applied physics,Irrelevant
journal of geophysical research-atmospheres,Irrelevant
cultural studies-critical methodologies,Irrelevant
aktuelle rheumatologie,Irrelevant
eurointervention,Irrelevant
archiv fur molluskenkunde,Irrelevant
flora,Irrelevant
journal of cell biology,Irrelevant
fisheries,Irrelevant
efort open reviews,Irrelevant
south african journal of botany,Irrelevant
materials science and engineering a-structural materials properties microstructure and processing,Irrelevant
poultry science,Irrelevant
journal of intercultural studies,Irrelevant
chinese semiotic studies,Irrelevant
ksu tarim ve doga dergisi-ksu journal of agriculture and nature,Irrelevant
materials research bulletin,Irrelevant
journal of polymer science part a-polymer chemistry,Irrelevant
revue d anthropologie des connaissances,Irrelevant
trauma und berufskrankheit,Irrelevant
international journal for the semiotics of law-revue internationale de semiotique juridique,Irrelevant
marine pollution bulletin,Irrelevant
egyptian rheumatologist,Irrelevant
chemelectrochem,Irrelevant
materials letters,Irrelevant
reviews on recent clinical trials,Irrelevant
international journal of social research methodology,Irrelevant
current pharmaceutical design,Irrelevant
journal for multicultural education,Irrelevant
behaviour research and therapy,Irrelevant
peptides,Irrelevant
journal of the marine biological association of the united kingdom,Irrelevant
journal of veterinary behavior,Irrelevant
economics of education review,Irrelevant
brain research bulletin,Irrelevant
annals of emergency medicine,Irrelevant
biomedicine & pharmacotherapy,Irrelevant
reproductive biomedicine online,Irrelevant
bioethics update,Irrelevant
pain management nursing,Irrelevant
journal of the formosan medical association,Irrelevant
solar energy,Irrelevant
journal of transport & health,Irrelevant
international orthodontics,Irrelevant
sustainable operations and computers,Irrelevant
current problems in pediatric and adolescent health care,Irrelevant
explore,Irrelevant
toxicon: x,Irrelevant
international journal of surgery,Irrelevant
ageing research reviews,Irrelevant
foot and ankle surgery,Irrelevant
indian heart journal,Irrelevant
the american journal of surgery,Irrelevant
journal of minimally invasive gynecology,Irrelevant
journal of american association for pediatric ophthalmology and strabismus,Irrelevant
computers & industrial engineering,Irrelevant
international journal of osteopathic medicine,Irrelevant
journal of clinical lipidology,Irrelevant
journal of the american academy of dermatology,Irrelevant
ieee security & privacy,Irrelevant
cell reports,Irrelevant
the lancet regional health - western pacific,Irrelevant
journal of comparative economics,Irrelevant
informatics in medicine unlocked,Irrelevant
marine policy,Irrelevant
studies in history and philosophy of science part c: studies in history and philosophy of biological and biomedical sciences,Irrelevant
psychosomatics,Irrelevant
food quality and preference,Irrelevant
climate risk management,Irrelevant
annals of global health,Irrelevant
studies in educational evaluation,Irrelevant
journal for nature conservation,Irrelevant
gynecologic oncology,Irrelevant
urban governance,Irrelevant
journal of fluency disorders,Irrelevant
contraception: x,Irrelevant
"journal of stomatology, oral and maxillofacial surgery",Irrelevant
seminars in oncology nursing,Irrelevant
progrès en urologie,Irrelevant
the american journal of emergency medicine,Irrelevant
comptes rendus geoscience,Irrelevant
nurse education today,Irrelevant
interdisciplinary neurosurgery,Irrelevant
osteoarthritis and cartilage,Irrelevant
primary care diabetes,Irrelevant
l'encéphale,Irrelevant
complementary therapies in medicine,Irrelevant
journal of clinical epidemiology,Irrelevant
litteratures,Irrelevant
journal of contemporary religion,Irrelevant
teorija in praksa,Irrelevant
index on censorship,Irrelevant
european psychiatry,Irrelevant
bjpsych open,Irrelevant
elt journal,Irrelevant
bmj-british medical journal,Irrelevant
ieee software,Irrelevant
ieee intelligent systems,Irrelevant
current oncology,Irrelevant
ieee signal processing magazine,Irrelevant
journal of contemporary medical sciences,Irrelevant
animal behaviour,Irrelevant
future oncology,Irrelevant
journal of physiology-london,Irrelevant
boundary 2-an international journal of literature and culture,Irrelevant
journal of nervous and mental disease,Irrelevant
argumentation et analyse du discours,Irrelevant
international journal of sexual health,Irrelevant
british medical journal,Irrelevant
journal der deutschen dermatologischen gesellschaft,Irrelevant
scandinavian cardiovascular journal,Irrelevant
revista del cuerpo medico del hospital nacional almanzor aguinaga asenjo,Irrelevant
journal of democracy,Irrelevant
scandinavian studies,Irrelevant
trends in parasitology,Irrelevant
journal of contextual behavioral science,Irrelevant
the american journal of the medical sciences,Irrelevant
journal of reproductive immunology,Irrelevant
oral oncology,Irrelevant
the lancet regional health - southeast asia,Irrelevant
saudi pharmaceutical journal,Irrelevant
anuario de psicología jurídica,Irrelevant
system,Irrelevant
journal of surgical education,Irrelevant
intelligent medicine,Irrelevant
surgery (oxford),Irrelevant
clinical therapeutics,Irrelevant
médecine et maladies infectieuses,Irrelevant
"engineering science and technology, an international journal",Irrelevant
lithos,Irrelevant
earth-science reviews,Irrelevant
network security,Irrelevant
future computing and informatics journal,Irrelevant
machine learning with applications,Irrelevant
software impacts,Irrelevant
global transitions proceedings,Irrelevant
orbis,Irrelevant
atherosclerosis supplements,Irrelevant
trends in molecular medicine,Irrelevant
gaceta sanitaria,Irrelevant
journal of bacteriology,Irrelevant
triplec-communication capitalism & critique,Irrelevant
journal of nonlinear science,Irrelevant
orvosi hetilap,Irrelevant
journal of mathematics and computer science-jmcs,Irrelevant
annals of telecommunications,Irrelevant
computers & mathematics with applications,Irrelevant
journal of information technology research,Partial Relevant
international journal of information retrieval research,Irrelevant
journal of manufacturing technology management,Irrelevant
journal of computational and applied mathematics,Irrelevant
cluster computing-the journal of networks software tools and applications,Irrelevant
electronics and communications in japan,Irrelevant
journal of spinal cord medicine,Irrelevant
circulo de linguistica aplicada a la comunicacion,Irrelevant
crime science,Irrelevant
security and privacy,Irrelevant
sigma journal of engineering and natural sciences-sigma muhendislik ve fen bilimleri dergisi,Irrelevant
international journal of digital earth,Irrelevant
international journal of nonlinear analysis and applications,Irrelevant
intelligent data analysis,Irrelevant
international journal of intelligent information technologies,Irrelevant
analytical science and technology,Irrelevant
compel-the international journal for computation and mathematics in electrical and electronic engineering,Irrelevant
ieee transactions on computers,Irrelevant
international journal of applied metaheuristic computing,Irrelevant
robotics,Irrelevant
journal of behavioral finance,Irrelevant
deviant behavior,Irrelevant
representations,Irrelevant
cuadernos de literatura,Irrelevant
gigascience,Irrelevant
biochimica et biophysica acta-molecular cell research,Irrelevant
communications biology,Irrelevant
journal of ultrasound in medicine,Irrelevant
omics-a journal of integrative biology,Irrelevant
international journal of web and grid services,Irrelevant
biosensors & bioelectronics,Irrelevant
optics express,Irrelevant
environmental science and pollution research,Irrelevant
international journal of multimedia data engineering & management,Irrelevant
science and engineering ethics,Irrelevant
journal of scholarly publishing,Irrelevant
international journal of swarm intelligence research,Irrelevant
academic pathology,Irrelevant
engineering journal-thailand,Irrelevant
journal of magnetic resonance,Irrelevant
scientific world journal,Irrelevant
behavior research methods,Irrelevant
neurology india,Irrelevant
neural networks,Irrelevant
journal of discrete mathematical sciences & cryptography,Irrelevant
natural language engineering,Irrelevant
canadian journal of economics-revue canadienne d economique,Irrelevant
empirical software engineering,Irrelevant
international journal of network management,Irrelevant
cybernetics and information technologies,Irrelevant
infor,Irrelevant
international journal of uncertainty fuzziness and knowledge-based systems,Irrelevant
english academy review-southern african journal of english studies,Irrelevant
calle 14-revista de investigacion en el campo del arte,Irrelevant
adcaij-advances in distributed computing and artificial intelligence journal,Irrelevant
international journal of data mining modelling and management,Irrelevant
international journal of technology and human interaction,Irrelevant
journal of intelligent information systems,Irrelevant
ergonomics,Irrelevant
international journal of digital crime and forensics,Irrelevant
international journal of software innovation,Irrelevant
trends in organized crime,Irrelevant
diogenes,Irrelevant
annals of corporate governance,Irrelevant
hahr-hispanic american historical review,Irrelevant
language matters,Irrelevant
medical anthropology quarterly,Irrelevant
french historical studies,Irrelevant
luso-brazilian review,Irrelevant
journal of negative results in biomedicine,Irrelevant
journal of applied psychology,Irrelevant
international critical thought,Irrelevant
journal of general management,Irrelevant
acta koreana,Irrelevant
chemie in unserer zeit,Irrelevant
neohelicon,Irrelevant
bmc public health,Irrelevant
international journal of computational intelligence and applications,Irrelevant
solid state nuclear magnetic resonance,Irrelevant
pattern recognition,Irrelevant
mathematical sciences,Irrelevant
international journal of e-collaboration,Irrelevant
international journal of e-business research,Irrelevant
scientometrics,Relevant
journal of zhejiang university-science c-computers & electronics,Irrelevant
perifrasis-revista de literatura teoria y critica,Irrelevant
sadhana-academy proceedings in engineering sciences,Irrelevant
yazyk i kultura-language and culture,Irrelevant
journal of ict research and applications,Irrelevant
information resources management journal,Relevant
journal of electrical engineering & technology,Irrelevant
frontiers of computer science,Irrelevant
international journal of engineering research in africa,Irrelevant
ieice transactions on fundamentals of electronics communications and computer sciences,Irrelevant
telecommunication systems,Irrelevant
international journal of pattern recognition and artificial intelligence,Irrelevant
journal of data and information science,Relevant
international journal of knowledge and systems science,Irrelevant
china communications,Irrelevant
acm sigcomm computer communication review,Irrelevant
information retrieval journal,Partial Relevant
international journal of engineering,Irrelevant
facta universitatis-series electronics and energetics,Irrelevant
international journal of cooperative information systems,Irrelevant
journal of cybersecurity,Irrelevant
neurogenetics,Irrelevant
tdr-the drama review-the journal of performance studies,Irrelevant
revista la propiedad inmaterial,Irrelevant
marine ecology progress series,Irrelevant
environmental management,Irrelevant
industrial and corporate change,Irrelevant
zoologichesky zhurnal,Irrelevant
discourse context & media,Irrelevant
teknokultura: revista de cultura digital y movimientos sociales,Irrelevant
film-philosophy,Irrelevant
archive of applied mechanics,Irrelevant
journal of sound and vibration,Irrelevant
revista humanidades,Irrelevant
journal of the association for information systems,Irrelevant
journal of the polynesian society,Irrelevant
radiation protection dosimetry,Irrelevant
boletin de la asociacion de geografos espanoles,Irrelevant
proceedings of the institution of mechanical engineers part c-journal of mechanical engineering science,Irrelevant
applied mathematical modelling,Irrelevant
critical studies in media communication,Irrelevant
journal of grid computing,Irrelevant
university of toronto quarterly,Irrelevant
revista argentina de ciencias del comportamiento,Irrelevant
ilef dergisi,Irrelevant
internet mathematics,Irrelevant
journal of petroleum science and engineering,Irrelevant
ferroelectrics,Irrelevant
bulletin of marine science,Irrelevant
nippon suisan gakkaishi,Irrelevant
molecular simulation,Irrelevant
tourism planning & development,Irrelevant
ethics and information technology,Relevant
indian journal of gender studies,Irrelevant
international journal of market research,Irrelevant
philological class,Irrelevant
turczaninowia,Irrelevant
endocrine metabolic & immune disorders-drug targets,Irrelevant
international journal of fashion studies,Irrelevant
rivista italiana di filosofia del linguaggio,Irrelevant
lake and reservoir management,Irrelevant
recent patents on anti-cancer drug discovery,Irrelevant
european countryside,Irrelevant
international journal of lexicography,Irrelevant
studies in american humor,Irrelevant
biodiversity and conservation,Irrelevant
university of pennsylvania law review,Irrelevant
schizophrenia bulletin,Irrelevant
administration in social work,Irrelevant
communication sciences and disorders-csd,Irrelevant
iic-international review of intellectual property and competition law,Irrelevant
world journal of orthopedics,Irrelevant
westminster papers in communication & culture,Irrelevant
microscopy research and technique,Irrelevant
journal of gender studies,Irrelevant
temida,Irrelevant
applications of mathematics,Irrelevant
reactive & functional polymers,Irrelevant
journal of intelligent material systems and structures,Irrelevant
polymer journal,Irrelevant
program-electronic library and information systems,Irrelevant
journal of internet technology,Irrelevant
ieice transactions on information and systems,Irrelevant
international journal of mental health and addiction,Irrelevant
iet software,Irrelevant
bioscience biotechnology research communications,Irrelevant
hydrological sciences journal-journal des sciences hydrologiques,Irrelevant
theory culture & society,Irrelevant
seizure-european journal of epilepsy,Irrelevant
wiley interdisciplinary reviews-data mining and knowledge discovery,Irrelevant
methods in ecology and evolution,Irrelevant
applied computing review,Irrelevant
journal of biomedical optics,Irrelevant
bmc medical imaging,Irrelevant
information-wissenschaft und praxis,Irrelevant
science china-earth sciences,Irrelevant
international journal of business data communications and networking,Irrelevant
korean journal of chemical engineering,Irrelevant
production and operations management,Irrelevant
transactions in gis,Irrelevant
international journal of software science and computational intelligence-ijssci,Irrelevant
carbohydrate polymers,Irrelevant
international journal on artificial intelligence tools,Irrelevant
eurasip journal on information security,Irrelevant
medical image analysis,Irrelevant
symposium-a quarterly journal in modern literatures,Irrelevant
atmospheric research,Irrelevant
acm transactions on privacy and security,Irrelevant
journal of pediatric neurosciences,Irrelevant
science china-information sciences,Irrelevant
chinese physics letters,Irrelevant
multivariate behavioral research,Irrelevant
current rheumatology reports,Irrelevant
nuclear medicine and molecular imaging,Irrelevant
sustainable computing-informatics & systems,Irrelevant
journal of intelligent systems,Irrelevant
nar genomics and bioinformatics,Irrelevant
journal of pharmaceutical sciences,Irrelevant
international journal of ad hoc and ubiquitous computing,Irrelevant
international journal of computational science and engineering,Irrelevant
energies,Irrelevant
mobile networks & applications,Irrelevant
electrochimica acta,Irrelevant
vine journal of information and knowledge management systems,Relevant
cognition technology & work,Irrelevant
ain shams engineering journal,Irrelevant
multimedia systems,Irrelevant
theater,Irrelevant
publishing research quarterly,Irrelevant
ieee network,Irrelevant
language sciences,Irrelevant
journal of social philosophy,Irrelevant
